name,type,size,parent_directory
req_file.py,file,17872,C:\Python\678\venv\Lib\site-packages\pip\_internal\req
req_install.py,file,33084,C:\Python\678\venv\Lib\site-packages\pip\_internal\req
req_set.py,file,4704,C:\Python\678\venv\Lib\site-packages\pip\_internal\req
req_uninstall.py,file,24678,C:\Python\678\venv\Lib\site-packages\pip\_internal\req
__init__.py,file,2738,C:\Python\678\venv\Lib\site-packages\pip\_internal\req
__pycache__,directory,119907,C:\Python\678\venv\Lib\site-packages\pip\_internal\req
constructors.cpython-312.pyc,file,18822,C:\Python\678\venv\Lib\site-packages\pip\_internal\req\__pycache__
req_file.cpython-312.pyc,file,21209,C:\Python\678\venv\Lib\site-packages\pip\_internal\req\__pycache__
req_install.cpython-312.pyc,file,35904,C:\Python\678\venv\Lib\site-packages\pip\_internal\req\__pycache__
req_set.cpython-312.pyc,file,7185,C:\Python\678\venv\Lib\site-packages\pip\_internal\req\__pycache__
req_uninstall.cpython-312.pyc,file,33073,C:\Python\678\venv\Lib\site-packages\pip\_internal\req\__pycache__
__init__.cpython-312.pyc,file,3714,C:\Python\678\venv\Lib\site-packages\pip\_internal\req\__pycache__
resolution,directory,244936,C:\Python\678\venv\Lib\site-packages\pip\_internal
base.py,file,583,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution
legacy,directory,46808,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution
resolver.py,file,24128,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\legacy
__init__.py,file,0,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\legacy
__pycache__,directory,22680,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\legacy
resolver.cpython-312.pyc,file,22503,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\legacy\__pycache__
__init__.cpython-312.pyc,file,177,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\legacy\__pycache__
resolvelib,directory,196217,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution
base.py,file,5220,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
candidates.py,file,18969,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
factory.py,file,27845,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
found_candidates.py,file,5705,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
provider.py,file,9824,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
reporter.py,file,3100,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
requirements.py,file,5454,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
resolver.py,file,11642,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
__init__.py,file,0,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
__pycache__,directory,108458,C:\Python\678\venv\Lib\site-packages\pip\_internal\resolution\resolvelib
